slug,engine,status,model_path,hero_path,gif_path,agent_seconds,render_seconds,error
analogue-pocket-aluminum,claude-opus-4.7,done,examples/my-example/projects/analogue-pocket-aluminum/claude-opus-4.7/model.forge.js,examples/my-example/projects/analogue-pocket-aluminum/claude-opus-4.7/renders/hero.png,examples/my-example/projects/analogue-pocket-aluminum/claude-opus-4.7/renders/turntable.gif,184.7,8.0,
analogue-pocket-aluminum,codex-gpt-5.5,done,examples/my-example/projects/analogue-pocket-aluminum/codex-gpt-5.5/model.forge.js,examples/my-example/projects/analogue-pocket-aluminum/codex-gpt-5.5/renders/hero.png,examples/my-example/projects/analogue-pocket-aluminum/codex-gpt-5.5/renders/turntable.gif,581.9,11.7,
candle-holder-001,claude-opus-4.7,done,examples/my-example/projects/candle-holder-001/claude-opus-4.7/model.forge.js,examples/my-example/projects/candle-holder-001/claude-opus-4.7/renders/hero.png,examples/my-example/projects/candle-holder-001/claude-opus-4.7/renders/turntable.gif,168.5,5.5,
candle-holder-001,codex-gpt-5.5,done,examples/my-example/projects/candle-holder-001/codex-gpt-5.5/model.forge.js,examples/my-example/projects/candle-holder-001/codex-gpt-5.5/renders/hero.png,examples/my-example/projects/candle-holder-001/codex-gpt-5.5/renders/turntable.gif,171.6,5.7,
cuboid-black,claude-opus-4.7,done,examples/my-example/projects/cuboid-black/claude-opus-4.7/model.forge.js,examples/my-example/projects/cuboid-black/claude-opus-4.7/renders/hero.png,examples/my-example/projects/cuboid-black/claude-opus-4.7/renders/turntable.gif,227.3,12.0,
cuboid-black,codex-gpt-5.5,done,examples/my-example/projects/cuboid-black/codex-gpt-5.5/model.forge.js,examples/my-example/projects/cuboid-black/codex-gpt-5.5/renders/hero.png,examples/my-example/projects/cuboid-black/codex-gpt-5.5/renders/turntable.gif,404.1,14.2,
desk-clock-001,claude-opus-4.7,done,examples/my-example/projects/desk-clock-001/claude-opus-4.7/model.forge.js,examples/my-example/projects/desk-clock-001/claude-opus-4.7/renders/hero.png,examples/my-example/projects/desk-clock-001/claude-opus-4.7/renders/turntable.gif,175.2,6.7,
desk-clock-001,claude-sonnet,done,examples/my-example/projects/desk-clock-001/claude-sonnet/model.forge.js,examples/my-example/projects/desk-clock-001/claude-sonnet/renders/hero.png,examples/my-example/projects/desk-clock-001/claude-sonnet/renders/turntable.gif,104.6,6.0,
desk-clock-001,codex-gpt-5.5,done,examples/my-example/projects/desk-clock-001/codex-gpt-5.5/model.forge.js,examples/my-example/projects/desk-clock-001/codex-gpt-5.5/renders/hero.png,examples/my-example/projects/desk-clock-001/codex-gpt-5.5/renders/turntable.gif,249.0,6.1,
herman-miller-powerbox,claude-opus-4.7,done,examples/my-example/projects/herman-miller-powerbox/claude-opus-4.7/model.forge.js,examples/my-example/projects/herman-miller-powerbox/claude-opus-4.7/renders/hero.png,examples/my-example/projects/herman-miller-powerbox/claude-opus-4.7/renders/turntable.gif,238.6,6.2,
herman-miller-powerbox,codex-gpt-5.5,done,examples/my-example/projects/herman-miller-powerbox/codex-gpt-5.5/model.forge.js,examples/my-example/projects/herman-miller-powerbox/codex-gpt-5.5/renders/hero.png,examples/my-example/projects/herman-miller-powerbox/codex-gpt-5.5/renders/turntable.gif,581.0,5.7,
